number_of_reviews,minimum_nights,neighbourhood_group,room_type,price
0.020667726550079493,0.0008006405124099279,0.5,0.5,113
0.025437201907790145,0.004803843074459567,0.5,0.0,200
0.004769475357710652,0.0024019215372297837,0.5,0.0,199
0.009538950715421305,0.0016012810248198558,0.25,0.0,250
0.009538950715421305,0.0,0.5,0.5,82
0.044515103338632754,0.0,0.5,0.0,145
0.015898251192368842,0.004803843074459567,0.25,0.0,99
0.003179650238473768,0.0,0.75,0.5,49
0.044515103338632754,0.0016012810248198558,0.5,0.0,145
0.0,0.0024019215372297837,0.75,0.0,69
0.017488076311605726,0.0032025620496397116,0.5,0.0,150
0.0,0.0008006405124099279,0.5,0.0,398
0.033386327503974564,0.0008006405124099279,0.25,0.5,55
0.0,0.023218574859887906,0.5,0.0,195
0.003179650238473768,0.0016012810248198558,0.5,0.0,125
0.0,0.007205764611689351,0.25,0.5,50
0.003179650238473768,0.09527622097678141,0.5,0.0,99
0.011128775834658189,0.004803843074459567,0.5,0.0,145
0.014308426073131956,0.0,0.0,0.5,60
0.06836248012718601,0.023218574859887906,0.5,0.0,129
0.0,0.0,0.75,0.5,50
0.0,0.023218574859887906,0.5,0.0,150
0.0,0.004803843074459567,0.25,0.0,125
0.001589825119236884,0.0,0.5,0.5,40
0.001589825119236884,0.004803843074459567,0.5,0.0,250
0.011128775834658189,0.0,0.5,0.5,68
0.0,0.010408326661329063,0.25,0.0,151
0.001589825119236884,0.047237790232185745,0.5,0.0,83
0.03656597774244833,0.0008006405124099279,0.25,0.5,95
0.0,0.15932746196957565,0.5,0.0,160
0.001589825119236884,0.0008006405124099279,0.75,0.5,40
0.0,0.010408326661329063,0.25,0.5,65
0.12241653418124007,0.0008006405124099279,0.25,0.5,65
0.007949125596184421,0.023218574859887906,0.5,0.0,130
0.0,0.0,0.5,0.5,100
0.022257551669316377,0.0032025620496397116,0.5,0.0,365
0.006359300476947536,0.0016012810248198558,0.5,0.0,99
0.21621621621621623,0.0008006405124099279,0.25,0.5,60
0.0,0.0,0.25,0.5,39
0.004769475357710652,0.0040032025620496394,0.25,0.0,100
0.01907790143084261,0.0016012810248198558,0.5,0.0,100
0.2209856915739269,0.0008006405124099279,1.0,0.0,180
0.01907790143084261,0.004803843074459567,0.75,0.5,75
0.16216216216216217,0.0016012810248198558,0.25,0.0,175
0.028616852146263912,0.0032025620496397116,0.25,0.0,249
0.011128775834658189,0.0016012810248198558,0.25,0.5,110
0.07631160572337044,0.0,0.25,0.5,95
0.003179650238473768,0.0016012810248198558,0.25,0.0,190
0.0,0.0016012810248198558,0.25,0.0,100
0.006359300476947536,0.0008006405124099279,0.5,0.0,550
0.041335453100158986,0.004803843074459567,0.5,0.5,40
0.12241653418124007,0.0,0.75,0.0,125
0.020667726550079493,0.0008006405124099279,0.25,0.5,80
0.151033386327504,0.0,0.75,0.5,34
0.004769475357710652,0.023218574859887906,0.5,0.0,202
